names,scores,logfoldchanges,pvals,pvals_adj
RNASE6,-3.5934758,-30.93164,0.0003262959115533414,0.04976435314286323
CSTA,-3.5950897,-5.3041577,0.0003242798514380436,0.04958533728352631
PRNP,-3.5956275,-3.4547772,0.0003236104262777482,0.04958533728352631
SLC11A1,-3.6144557,30.933449,0.00030097925101444436,0.046751051470238364
CLTC,-3.6160696,-3.6937063,0.0002991100379737074,0.04658361887701628
ZFYVE16,-3.6230628,-3.197561,0.00029113504990500877,0.04546185779285906
NNMT,-3.6370494,-63.81722,0.00027577902517261804,0.043293629898432065
SERPING1,-3.6386633,-70.69523,0.0002740568638388881,0.04322849199259406
EVI5,-3.6456566,-8.088102,0.0002667099832126472,0.04232133884562949
CPPED1,-3.6461945,-5.9336724,0.0002661525543913237,0.04232133884562949
CALD1,-3.6472704,-20.797548,0.0002650409716668492,0.042284449869992996
SERINC5,-3.6644847,-13.201473,0.00024783710395424906,0.03975523245173472
CLEC7A,-3.6682503,-6.5357537,0.00024421607506695396,0.03938904202518241
HIF1A,-3.669326,105.31176,0.00024319064696741845,0.03933141040376902
CPM,-3.679547,-31.672407,0.00023364851478000786,0.03789225362286243
CTNNB1,-3.6865404,19.473736,0.00022732335599081024,0.03707070905035734
IFI30,-3.6940715,-6.6356835,0.0002206915728265955,0.03608920247861577
MLXIPL,-3.6967614,-6.6564636,0.00021836741906920392,0.03590863117487161
SGK1,-3.698913,-6.769286,0.00021652466275183714,0.0357053414459402
PICALM,-3.701603,-4.366775,0.000214241748301257,0.03542812281599719
CD4,-3.709672,-7.4245086,0.00020752787479742948,0.03451176833142563
ZNF638,-3.7128997,-3.1063101,0.00020489807070852266,0.03417096153714087
ZBTB20,-3.7150514,-40.349365,0.0002031622936195458,0.03397773927665529
EPN1,-3.7177413,-3.2012393,0.00020101199528197345,0.033713892200141815
RAB20,-3.7188172,-6.672651,0.00020015787770683792,0.03366655503029013
UBE2D3,-3.7344177,-4.010414,0.00018815010765972526,0.03173752675624076
PYGL,-3.739797,-4.800829,0.00018416891611495236,0.031245026200827797
CCDC88A,-3.7446384,-0.5412789,0.0001806536816386944,0.030826325327738956
GNAQ,-3.7467904,-3.7592573,0.00017911169053714637,0.030652050063726184
AHCYL1,-3.7489421,-3.2015145,0.00017758208140774266,0.03047888376814522
NRIP1,-3.7548594,-5.182443,0.0001734387487307639,0.02994234351255153
MFSD1,-3.7570112,-3.6429043,0.00017195475418098363,0.02983750269596188
CAST,-3.7591631,-4.226412,0.00017048270827464706,0.02969324566901915
STAB1,-3.7640045,-15.017008,0.0001672138299013253,0.02921032096822261
NFIC,-3.769922,-3.9220314,0.0001632985991107934,0.028858955528515483
SDCBP,-3.7731497,370.30853,0.00016119953845172483,0.028794079636737652
CFI,-3.7736876,-8.506643,0.00016085217303027062,0.028794079636737652
SERPINA1,-3.7747636,-379.09555,0.00016015955420822607,0.028794079636737652
A2M,-3.7871363,-20.212374,0.00015239356356635717,0.02751965977653818
SLC7A7,-3.7871363,-30.200401,0.00015239356356635717,0.02751965977653818
PTGS2,-3.7876742,-10.39983,0.00015206408797562812,0.02751965977653818
MED13L,-3.7968192,-3.251972,0.00014656458166685573,0.026795828952570797
VAMP8,-3.7968192,-3.9851274,0.00014656458166685573,0.026795828952570797
FNIP2,-3.797357,-3.134655,0.0001462469851137173,0.026795828952570797
LILRB2,-3.808654,-30.701588,0.00013972529174622497,0.025785667476803335
ABCC3,-3.8118818,-5.3723774,0.00013791287608890915,0.025531229608031704
SOCS3,-3.8151095,-6.6894026,0.00013612262286431633,0.02527930223350884
GSTO1,-3.8210268,-8.26158,0.00013289721630111895,0.024837013090942453
HLA-DPA1,-3.8247924,-12.919164,0.00013088232512592848,0.024616749137902266
TSPO,-3.826944,52.821857,0.00012974391943654224,0.02448084787573475
FBP1,-3.8274822,-7.9156094,0.0001294607795593627,0.02448084787573475
ANPEP,-3.8473861,-14.371448,0.00011938474260252629,0.022744918436927903
IL1B,-3.8527656,-25.447416,0.00011679119765582732,0.02239575832572819
IGFBP4,-3.8576071,-5.6987677,0.0001145025223091898,0.02202863885079086
CEBPD,-3.8586829,-8.179244,0.00011399970470199307,0.022003811855102726
SNX3,-3.8613727,-3.0581899,0.00011275175677469485,0.02183452605699436
NUMB,-3.8629866,-3.087296,0.00011200918519748954,0.021762312648766366
ERRFI1,-3.8640623,-9.299338,0.00011151670300127105,0.02173837187312857
TMBIM6,-3.8748214,168.3353,0.000106702958262128,0.020938677176304918
TMEM176A,-3.8823526,-45.003048,0.00010345073766803251,0.020368377680659112
SERINC1,-3.8941875,37.76089,9.852847143578458e-05,0.019464332595384694
EGR1,-3.9065602,157.25719,9.361935940866532e-05,0.01868261589284111
CXCL16,-3.907636,-7.498615,9.320357728237851e-05,0.01866290678440008
ATP6AP1,-3.909788,-4.048784,9.237723926176036e-05,0.018560573635972126
CPVL,-3.9259262,-6.0607653,8.639666051222488e-05,0.017418395220392735
BACH1,-3.927002,-6.8397145,8.60112500637794e-05,0.017400282787816815
HSBP1,-3.9323814,-4.2112107,8.410844400851825e-05,0.017192583676324546
KIF1B,-3.935609,-5.580299,8.29859287052305e-05,0.017022235619780206
SLC25A37,-3.9404507,-4.2667217,8.132867014747517e-05,0.0167406252153212
FAM120A,-3.9436784,-2.072183,8.024126384674788e-05,0.016574748079501923
MEF2C,-3.9522855,-5.299273,7.7408312619562e-05,0.016045870999695826
PHACTR1,-3.9592788,-33.22716,7.517644450029614e-05,0.01563829430294146
THBD,-3.9630444,-8.971372,7.400001481914542e-05,0.015448159121996775
THBS1,-3.9915555,-49.520435,6.564132080240911e-05,0.013801087698706516
ATP13A3,-3.9926314,-4.4769607,6.534410335951683e-05,0.013801087698706516
INSR,-4.007156,-7.3931646,6.145429481262429e-05,0.013155688493160698
BNIP3L,-4.014149,-7.7161474,5.9660597619928365e-05,0.012818318911989719
MPEG1,-4.015225,-5.791857,5.9389083927814294e-05,0.012818318911989719
EREG,-4.0216804,-18.385305,5.7784414996170066e-05,0.012599142632683451
MEF2A,-4.02706,-3.0767188,5.647864666815372e-05,0.012360215350759143
SLCO2B1,-4.027598,-4.738714,5.634961828686496e-05,0.012360215350759143
CTNNA1,-4.028136,-3.6308553,5.6220869159454926e-05,0.012360215350759143
MTSS1,-4.0340533,59.188606,5.482289805309109e-05,0.01213317296385516
MS4A4A,-4.043198,-7.2668266,5.27269967806917e-05,0.011802426998020229
GNS,-4.0523434,-6.792659,5.070717642262982e-05,0.01139363158778709
DPYD,-4.0625644,-3.5569031,4.853657043146149e-05,0.010989799620385146
ITPR2,-4.064178,-8.110634,4.820200172262291e-05,0.010956184715871856
MNDA,-4.066868,-33.01814,4.7649241074409896e-05,0.010872522566087249
PDK4,-4.066868,-5.763863,4.7649241074409896e-05,0.010872522566087249
LY96,-4.066868,-30.878632,4.7649241074409896e-05,0.010872522566087249
HLA-DRB5,-4.0679436,-10.03765,4.742982407111945e-05,0.010872522566087249
CAPZA2,-4.0711713,-3.8823872,4.677730664065633e-05,0.010872522566087249
PDLIM5,-4.071709,-4.605627,4.66693847378905e-05,0.010872522566087249
LIPA,-4.0733232,122.03241,4.634703386152533e-05,0.010872522566087249
TNFRSF1A,-4.0910754,-15.686421,4.293774584921375e-05,0.010151586739530977
IFNGR2,-4.0916133,-6.199832,4.283824443272249e-05,0.010151586739530977
CD163,-4.094841,-9.779959,4.224581426544101e-05,0.010068870792738917
CD36,-4.1018343,-11.903624,4.098877201463949e-05,0.009889381182384535
ZFHX3,-4.107752,-6.4679728,3.9952923026456896e-05,0.009679129952952746
SEC62,-4.113131,-5.192541,3.9032842741726584e-05,0.009534703121184415
KYNU,-4.1314216,-30.113768,3.605270791819583e-05,0.00888043060729786
DMXL2,-4.1314216,-30.248123,3.605270791819583e-05,0.00888043060729786
RBPJ,-4.1486354,-4.2498126,3.3446273322521786e-05,0.008343144536003632
IFITM3,-4.155091,-28.8326,3.251582015917911e-05,0.008145558862854785
TNFAIP2,-4.163698,-7.838612,3.1313415265019945e-05,0.007911677067174782
LAPTM4A,-4.1690774,-10.297187,3.058349713410722e-05,0.007760562397779707
CREG1,-4.173381,-6.981009,3.0011234273857584e-05,0.007648317583125524
AP2S1,-4.187906,-3.0768714,2.8154056145171752e-05,0.007206214283766353
SERP1,-4.1900573,-5.134753,2.7888391251279802e-05,0.007169386868833371
CD93,-4.1916714,-6.136566,2.7690708510884908e-05,0.007149789517700854
MGAT1,-4.2282515,65.711426,2.355144281875267e-05,0.006217369680448294
S100A9,-4.232017,-23.529484,2.3160475851181953e-05,0.006141699159275142
ZKSCAN1,-4.234169,-6.519244,2.2939847306723467e-05,0.0061384945952127744
FGD4,-4.243314,-5.108461,2.2024293565866892e-05,0.005920411699646502
HLA-DRB1,-4.2454658,-9.435681,2.1813980741291695e-05,0.005890775441467166
MAFB,-4.284198,-7.44625,1.8339965972434452e-05,0.004998489799987112
GK,-4.2874255,-6.6144943,1.8075583380482863e-05,0.0049724747364907765
ARHGEF12,-4.29926,-7.7726583,1.7136909022498435e-05,0.004747892831655387
GRINA,-4.3240056,-8.848072,1.53221255515423e-05,0.004274945645589077
IL13RA1,-4.330461,-4.7518024,1.4879739130597592e-05,0.004171286869610858
RAB31,-4.3557444,-5.453768,1.3261533520386751e-05,0.003735437695431426
TFPI,-4.3648896,-10.87432,1.2718693578667776e-05,0.0035997571681546728
SPI1,-4.3681173,-30.720102,1.2532215810444518e-05,0.003572900840782695
FOXO3,-4.390711,-5.2466116,1.1298059285437322e-05,0.0032603762261455647
QKI,-4.407925,57.246754,1.0436552071206143e-05,0.003056715524536844
DUSP1,-4.4143806,335.34192,1.0129958028577846e-05,0.002981753145711889
STAT3,-4.420836,-5.483476,9.831977459177849e-06,0.0029232753182919188
PLSCR1,-4.44343,-4.553212,8.853608896269495e-06,0.002659244672058088
LEPROT,-4.449347,-3.2733903,8.613171714146007e-06,0.0026002944554450024
G0S2,-4.467637,-39.176888,7.908826557549326e-06,0.0024310650935140438
ACTN1,-4.4757066,-15.001828,7.615906911747218e-06,0.002359728631023993
HES1,-4.479472,-7.3625655,7.482788397987421e-06,0.0023307500158175633
SLC40A1,-4.482162,-8.089156,7.3890690487858955e-06,0.002313800504798009
CTSH,-4.4848514,-6.8616204,7.296472776632716e-06,0.002302825282896748
HDLBP,-4.5052934,-6.3808093,6.628128523971692e-06,0.002109177979493046
LST1,-4.5122867,-7.335431,6.41324075861296e-06,0.0020518884970627447
MAP3K2,-4.5155144,37.245197,6.316325220796681e-06,0.002031923856548091
PTMS,-4.5354185,-5.5860124,5.748940534026965e-06,0.0018907269789841758
HLA-DRA,-4.5531707,-23.901316,5.284338814637634e-06,0.0017476911574029073
DDX17,-4.566081,-6.3337383,4.969261488937084e-06,0.0016527707562357407
ASPH,-4.5666194,-6.660358,4.956531709735085e-06,0.0016527707562357407
HBEGF,-4.5827575,-5.6011553,4.588838929108131e-06,0.001543685415751975
KCTD12,-4.6048136,-31.431353,4.128359516129144e-06,0.0014130030506658297
LAMP1,-4.607503,-4.3657722,4.075331605929654e-06,0.001406643460856215
FGL2,-4.6134205,-6.74682,3.960958376205263e-06,0.0013797728970840464
NCOA4,-4.6231036,-5.657566,3.7804097023312565e-06,0.0013326510130313837
ASGR1,-4.626869,-14.729199,3.7123493971602116e-06,0.001316542222956757
ANXA5,-4.63978,20.248009,3.4878059269548132e-06,0.0012519947251209136
SHTN1,-4.647849,-31.270237,3.35414301699296e-06,0.001211401223376537
TGFBI,-4.6537666,-8.071197,3.2592604099883813e-06,0.001191755654260969
TIMP2,-4.666139,-6.022527,3.069119088912122e-06,0.001129244004776604
CTNND1,-4.6731324,-5.8539047,2.9664035191118747e-06,0.0010983155671076483
CPEB4,-4.6817393,-5.504456,2.844507233468683e-06,0.0010598489926221606
AQP9,-4.6833534,-13.299027,2.822193218713986e-06,0.0010582325782528177
MS4A7,-4.687657,-14.599356,2.7635073201273973e-06,0.0010428697175378198
LIMS1,-4.687657,-6.0177836,2.7635073201273973e-06,0.0010428697175378198
CTSA,-4.6989536,-13.764168,2.6149757306749834e-06,0.0010061674592472959
BASP1,-4.7124023,-34.445324,2.448132780488372e-06,0.0009544475283930495
CTSD,-4.7328444,32.406822,2.2139522727707042e-06,0.0008806443939054822
IL6R,-4.748445,-4.539626,2.049868164530432e-06,0.0008209233935095683
ATP6V0B,-4.767811,102.69426,1.86238518881273e-06,0.0007509494251055165
KLF4,-4.8199916,-32.090244,1.435643011019414e-06,0.0005951852398500908
TKT,-4.826447,-18.154633,1.3899043178904024e-06,0.0005803096964128226
TIMP1,-4.868407,-24.199295,1.12501646538909e-06,0.0004799255023004039
PLAUR,-4.8974557,-16.882,9.708551150811896e-07,0.00041718423813744257
PRDX1,-4.9388776,-9.76184,7.857354864114756e-07,0.0003426388747040264
RBM47,-4.955554,-8.175078,7.212455641490079e-07,0.00032166459364736433
HNMT,-4.977072,-5.4455576,6.455343672559396e-07,0.0002945938620182726
FTH1,-4.9786854,563.1311,6.401757895504625e-07,0.0002944308494596542
INSIG1,-5.012038,4.5413804,5.385653966142885e-07,0.0002536427591894653
SDS,-5.012576,-19.8965,5.370614234235734e-07,0.0002536427591894653
MS4A6A,-5.013114,-12.842979,5.355615002225734e-07,0.0002536427591894653
PAPSS2,-5.025487,-5.7195807,5.021572995424818e-07,0.0002443140514385612
AIF1,-5.063143,-10.398813,4.124004659422805e-07,0.0002075044053848039
ZFP36L1,-5.072288,17.395622,3.930609477876859e-07,0.0001994784310022506
LAMP2,-5.0889645,-13.079283,3.6002438631538387e-07,0.00018430117932510131
SELENOP,-5.1061788,-1.5756415,3.28739086680325e-07,0.0001697620178321994
RAC1,-5.11371,37.877884,3.1589256449115935e-07,0.00016604102921066564
NPC2,-5.152442,-8.455608,2.571163413544981e-07,0.00013886641298659912
CTSL,-5.1556697,-10.130938,2.527262648637835e-07,0.000137759214930842
ABCA1,-5.161049,-5.1205645,2.455699011742022e-07,0.00013638396303891775
DST,-5.209464,-7.3113523,1.893868640342941e-07,0.00011038816520493955
CTSS,-5.2159195,-15.321675,1.8290767356585966e-07,0.00010876540144264806
METTL7A,-5.2164574,-5.4187202,1.823775203621994e-07,0.00010876540144264806
LYZ,-5.249272,-19.528545,1.5270142527682807e-07,9.364096777132154e-05
CAT,-5.2546515,-4.812688,1.4830502076998767e-07,9.190227971293867e-05
CYBB,-5.260569,-10.185681,1.436103744971291e-07,9.099839193793645e-05
C5AR1,-5.2621827,-12.364196,1.4235516992404972e-07,9.099839193793645e-05
ZFAND5,-5.2842383,7.4493637,1.2622871063390926e-07,8.256760216686932e-05
TYMP,-5.413883,-16.67079,6.167234566253901e-08,4.173162056498473e-05
YBX3,-5.4198008,-7.307141,5.96654907358888e-08,4.084310976304388e-05
ASAH1,-5.4251804,58.28337,5.7896093562654484e-08,4.0098153270981994e-05
ACSL1,-5.58226,57.32286,2.3741268504958523e-08,1.7918570216498822e-05
VMP1,-5.6010885,298.28192,2.130100699869812e-08,1.6499872131754712e-05
TMEM123,-5.6215305,-6.50727,1.892732653027685e-08,1.4856689504498644e-05
VEGFA,-5.646276,-7.697703,1.6396072556439948e-08,1.3406066547189163e-05
TPP1,-5.7210503,13.756316,1.0586758399646448e-08,8.889937155280271e-06
RNF130,-5.7382646,41.38652,9.565165331668282e-09,8.160888160511765e-06
APLP2,-5.761396,-12.852125,8.342098433249164e-09,7.329840817393706e-06
LRP1,-5.794749,-16.663652,6.842352955150128e-09,6.197066437995201e-06
