species,tissue_class,tissue_type,cell_name,marker,pmid
Human,Blood,Blood,Dendritic cell,HLA-DR,34183838
Human,Blood,Blood,T cell,CD8,34183838
Human,Blood,Blood,T cell,CD3,34183838
Human,Blood,Blood,Memory CD4+ T cell,CD45RO,34183838
Human,Blood,Blood,Regulatory CD4+ T cell,CD4,34183838
Human,Blood,Blood,B cell,CD19,34183838
Human,Blood,Blood,Natural killer cell,CD56,34183838
Human,Esophagus,Esophagus,Cancer cell,KRT5,34192657
Human,Esophagus,Esophagus,Cancer cell,SOX2,34192657
Human,Esophagus,Esophagus,T cell,CD3D,34192657
Human,Esophagus,Esophagus,Fibroblast,DCN,34192657
Human,Esophagus,Esophagus,T cell,CD3E,34192657
Human,Esophagus,Esophagus,Plasma cell,IGHG4,34192657
Human,Esophagus,Esophagus,Endothelial cell,RAMP2,34192657
Human,Esophagus,Esophagus,Cancer cell,EPCAM,34192657
Human,Esophagus,Esophagus,B cell,CD79A,34192657
Human,Esophagus,Esophagus,Naive T(Th0) cell,CCR7,34192657
Human,Esophagus,Esophagus,Mast cell,TPSB2,34192657
Human,Esophagus,Esophagus,B cell,IGKC,34192657
Human,Esophagus,Esophagus,Mast cell,CPA3,34192657
Human,Esophagus,Esophagus,Myeloid cell,C1QB,34192657
Human,Esophagus,Esophagus,Follicular B cell,MS4A1,34192657
Human,Esophagus,Esophagus,Plasma cell,IGHG1,34192657
Human,Esophagus,Esophagus,Fibroblast,COL1A1,34192657
Human,Esophagus,Esophagus,Epithelial cell,SPRR3,34192657
Human,Esophagus,Esophagus,Endothelial cell,VWF,34192657
Human,Esophagus,Esophagus,Naive T(Th0) cell,LEF1,34192657
Human,Esophagus,Esophagus,Myeloid cell,LYZ,34192657
Human,Esophagus,Esophagus,Naive T(Th0) cell,TCF7,34192657
Human,Esophagus,Esophagus,Epithelial cell,KRT13,34192657
Human,Blood,Peripheral blood,Monocyte,CD14,34224783
Human,Blood,Serum,Cancer cell,HER2,34225455
Human,Blood,Serum,Cancer cell,MCAM,34225455
Human,Blood,Serum,Cancer cell,LNGFR,34225455
Human,Blood,Serum,Cancer cell,MCSP,34225455
Mouse,Eye,Retina,Venous cell,Ptgis,34273276
Mouse,Eye,Retina,Capillary cell,Mfsd2a,34273276
Mouse,Eye,Retina,Venous cell,Hmgn2,34273276
Mouse,Eye,Retina,Superficial retinal vascular plexus (S-tip cell),Plvap,34273276
Mouse,Eye,Retina,Myofibroblast,Tagln,34273276
Mouse,Eye,Retina,Myofibroblast,Vim,34273276
Mouse,Eye,Retina,Superficial retinal vascular plexus (S-tip cell),Esm1,34273276
Mouse,Eye,Retina,Capillary cell,Slc22a8,34273276
Mouse,Eye,Retina,Myofibroblast,Rock2,34273276
Human,Blood,Blood,Naive CD4+ T cell,TCF7,34282123
Human,Blood,Blood,Terminal effector CD8+ T cell,NKG7,34282123
Human,Blood,Blood,Naive CD4+ T cell,LEF1,34282123
Human,Blood,Blood,Naive CD4+ T cell,SELL,34282123
Human,Blood,Blood,Naive CD8+ T cell,CCR7,34282123
Human,Blood,Blood,Regulatory CD4+ T cell,IL2RA,34282123
Human,Blood,Blood,Naive CD4+ T cell,CCR7,34282123
Human,Blood,Blood,Transitional CD8+ T cell,GZMK,34282123
Human,Blood,Blood,Naive CD8+ T cell,SELL,34282123
Human,Blood,Blood,Central memory CD8+ T cell,SELL,34282123
Human,Blood,Blood,Naive CD8+ T cell,TCF7,34282123
Human,Blood,Blood,Terminal effector CD8+ T cell,GZMA,34282123
Human,Blood,Blood,Central memory CD8+ T cell,CD27,34282123
Human,Blood,Blood,Terminal effector CD8+ T cell,PRF1,34282123
Human,Blood,Blood,Naive CD8+ T cell,LEF1,34282123
Human,Blood,Blood,Regulatory CD4+ T cell,TIGIT,34282123
Human,Blood,Blood,Terminal effector CD8+ T cell,GZMB,34282123
Human,Blood,Blood,Regulatory CD4+ T cell,CTLA4,34282123
Human,Blood,Blood,Regulatory CD4+ T cell,FOXP3,34282123
Human,Blood,Blood,Central memory CD8+ T cell,CCR7,34282123
Human,Blood,Blood,Yolk sac-derived myeloid-biased progenitor cell(YSMP),CD44,34284135
Human,Blood,Blood,Yolk sac-derived myeloid-biased progenitor cell(YSMP),CD45,34284135
Human,Blood,Blood,Yolk sac-derived myeloid-biased progenitor cell(YSMP),PTPRC,34284135
Human,Blood,Blood,Yolk sac-derived myeloid-biased progenitor cell(YSMP),CD34,34284135
Human,Blood,Blood,Yolk sac-derived myeloid-biased progenitor cell(YSMP),MYB,34284135
Human,Blood,Blood,Effector regulatory T(eTreg) cell,GNLY,34322127
Human,Blood,Blood,Effector regulatory T(eTreg) cell,CD8+,34322127
Human,Blood,Blood,Effector regulatory T(eTreg) cell,PRF1,34322127
Human,Blood,Blood,Effector regulatory T(eTreg) cell,GZMH,34322127
Human,Blood,Blood,Effector regulatory T(eTreg) cell,GZMA,34322127
Human,Blood,Peripheral blood,Natural killer cell,NKG7,34324441
Human,Blood,Peripheral blood,CD4+ T cell,RORA,34324441
Human,Blood,Peripheral blood,Activated CD4+ T cell,CD69,34324441
Human,Blood,Peripheral blood,Activated CD4+ T cell,STAT3,34324441
Human,Blood,Peripheral blood,Monocyte,PSAP,34324441
Human,Blood,Peripheral blood,Immature B cell,HLA-DPB1,34324441
Human,Blood,Peripheral blood,Mature B cell,LYN,34324441
Human,Blood,Peripheral blood,CD4+ T cell,LTB,34324441
Human,Blood,Peripheral blood,Activated CD4+ T cell,SOCS3,34324441
Human,Blood,Peripheral blood,Activated CD8+ T cell,CD3E,34324441
Human,Blood,Peripheral blood,Gamma delta(γδ) T cell,TRDV2,34324441
Human,Blood,Peripheral blood,CD4+ T cell,TNFAIP3,34324441
Human,Blood,Peripheral blood,Natural killer cell,CD7,34324441
Human,Blood,Peripheral blood,Monocyte,S100A6,34324441
Human,Blood,Peripheral blood,CD4+ T cell,CD4,34324441
Human,Blood,Peripheral blood,Natural killer cell,GZMB,34324441
Human,Blood,Peripheral blood,CD4+ T cell,IL7R,34324441
Human,Blood,Peripheral blood,Monocyte,TYROBP,34324441
Human,Blood,Peripheral blood,Activated CD8+ T cell,CD8A,34324441
Human,Blood,Peripheral blood,Mature B cell,CD37,34324441
Human,Blood,Peripheral blood,Activated CD4+ T cell,ICOS,34324441
Human,Blood,Peripheral blood,Immature B cell,HLA-DRB1,34324441
Human,Blood,Peripheral blood,Natural killer cell,CD56,34324441
Human,Blood,Peripheral blood,Gamma delta(γδ) T cell,GNLY,34324441
Human,Blood,Peripheral blood,Regulatory T(Treg) cell,CTLA4,34324441
Human,Blood,Peripheral blood,Monocyte,CST3,34324441
Human,Blood,Peripheral blood,Immature B cell,HLA-DRA,34324441
Human,Blood,Peripheral blood,Gamma delta(γδ) T cell,NKG7,34324441
Human,Blood,Peripheral blood,Monocyte,OAZ1,34324441
Human,Blood,Peripheral blood,Gamma delta(γδ) T cell,TRGV9,34324441
Human,Blood,Peripheral blood,Immature B cell,CD79A,34324441
Human,Blood,Peripheral blood,Natural killer cell,CCL5,34324441
Human,Blood,Peripheral blood,Monocyte,LYZ,34324441
Human,Blood,Peripheral blood,Immature B cell,CD74,34324441
Human,Blood,Peripheral blood,Activated CD8+ T cell,GZMB,34324441
Human,Blood,Peripheral blood,Natural killer cell,GNLY,34324441
Human,Blood,Peripheral blood,Activated CD8+ T cell,NKG7,34324441
Human,Blood,Peripheral blood,Mature B cell,CD74,34324441
Human,Blood,Peripheral blood,Activated CD8+ T cell,GZMH,34324441
Human,Blood,Peripheral blood,Regulatory T(Treg) cell,IL32,34324441
Human,Blood,Peripheral blood,Gamma delta(γδ) T cell,CCL5,34324441
Human,Blood,Peripheral blood,Regulatory T(Treg) cell,FOXP3,34324441
Human,Blood,Peripheral blood,Mature B cell,HLA-DRA,34324441
Human,Blood,Peripheral blood,Mature B cell,CD79A,34324441
Human,Blood,Peripheral blood,Activated CD8+ T cell,CCL5,34324441
Human,Blood,Peripheral blood,Mature B cell,IGHM,34324441
Human,Blood,Peripheral blood,Immature B cell,CD83,34324441
Human,Blood,Peripheral blood,Regulatory T(Treg) cell,IL10RA,34324441
Human,Blood,Peripheral blood,Regulatory T(Treg) cell,IL2RA,34324441
Human,Blood,Blood,Natural killer cell,KLRC2,34326311
Human,Blood,Blood,Natural killer cell,FGFBP2,34326311
Human,Esophagus,Esophagus,Transitional basal progenitor cell,P63,34385390
Human,Esophagus,Esophagus,Residual embryonic cell,KRT7,34385390
Human,Esophagus,Esophagus,Transitional basal progenitor cell,KRT7,34385390
Human,Esophagus,Esophagus,Residual embryonic cell,MUC4,34385390
Human,Esophagus,Esophagus,Stem cell,OLFM4,34385390
Human,Esophagus,Esophagus,Transitional basal progenitor cell,KRT5,34385390
Human,Intestine,Intestine,Stem cell,OLFM4,34385390
Human,Esophagus,Esophagus,Duodenal epithelial cell,PIGR,34389613
Human,Esophagus,Esophagus,Granulocyte,CLC,34389613
Human,Esophagus,Esophagus,Myeloid cell,CSF1R,34389613
Human,Esophagus,Esophagus,Fibroblast,COL3A1,34389613
Human,Esophagus,Esophagus,T cell,TRBC2,34389613
Human,Esophagus,Esophagus,Mast cell,CPA3,34389613
Human,Esophagus,Esophagus,Esophageal epithelial cell,KRT5,34389613
Human,Esophagus,Esophagus,Plasma cell,IGHA1,34389613
Human,Esophagus,Esophagus,Endothelial cell,VWF,34389613
Mouse,Foot,Tendon,Tenocyte,TNMD,34408142
Mouse,Foot,Tendon,Tenocyte,Mkx,34408142
Mouse,Foot,Tendon,Tenocyte,COL1A2,34408142
Mouse,Foot,Tendon,Tenocyte,Scx,34408142
Mouse,Foot,Tendon,Tenocyte,COL1A1,34408142
Mouse,Foot,Tendon,Tenocyte,PAX1,34408142
Mouse,Foot,Tendon,Tenocyte,FMOD,34408142
Mouse,Eye,Retina,Neuron,Pea15a,34416169
Mouse,Eye,Retina,Neuron,Gad2,34416169
Mouse,Eye,Retina,Neuron,Calb2,34416169
Mouse,Eye,Retina,Neuron,Avpr1a,34416169
Mouse,Eye,Retina,Neuron,Sst,34416169
Mouse,Eye,Retina,Neuron,Gad1,34416169
Mouse,Eye,Retina,Neuron,Drd1,34416169
Mouse,Eye,Retina,Neuron,Dlk2,34416169
Mouse,Eye,Retina,Neuron,Syt10,34416169
Mouse,Eye,Retina,Neuron,C1q13,34416169
Mouse,Eye,Retina,Neuron,Calb1,34416169
Mouse,Eye,Retina,Neuron,Avp,34416169
Mouse,Eye,Retina,Neuron,Nms,34416169
Mouse,Eye,Retina,Neuron,Rgs16,34416169
Mouse,Eye,Retina,Neuron,Cck,34416169
Mouse,Eye,Retina,Neuron,Penk,34416169
Mouse,Eye,Retina,Neuron,Rorb,34416169
Mouse,Eye,Retina,Neuron,Vipr2,34416169
Mouse,Eye,Retina,Neuron,Lhx1,34416169
Mouse,Eye,Retina,Neuron,Vip,34416169
Mouse,Eye,Retina,Neuron,Slc32a1,34416169
Mouse,Eye,Retina,Neuron,Vgf,34416169
Mouse,Eye,Retina,Neuron,Scg2,34416169
Mouse,Eye,Retina,Neuron,Slc17a6,34416169
Mouse,Eye,Retina,Neuron,Prok2,34416169
Human,Esophagus,Esophagus,Epithelial cell,EPCAM,34416429
Human,Esophagus,Esophagus,Goblet cell,TFF2,34416429
Human,Esophagus,Esophagus,Goblet cell,MUC5AC,34416429
Human,Esophagus,Esophagus,Glandular Barrett's esophagus cell,TFF3,34416429
Human,Esophagus,Esophagus,Goblet cell,TFF1,34416429
Human,Esophagus,Esophagus,Epithelial cell,CDH1,34416429
Human,Esophagus,Esophagus,Goblet cell,MUC2,34416429
Human,Esophagus,Esophagus,Epithelial cell,TFF3,34416429
Human,Esophagus,Esophagus,Stratified esophageal cell,TP63,34416429
Human,Esophagus,Esophagus,Goblet cell,TFF3,34416429
Mouse,Eye,Eye,Endothelial cell,Lum+,34487375
Mouse,Eye,Eye,Suprachiasmatic neuronal cell,GRP,34487375
Mouse,Eye,Eye,Putative SCN neuron,Avp,34487375
Mouse,Eye,Eye,Suprachiasmatic neuronal cell,VIP,34487375
Mouse,Eye,Eye,Suprachiasmatic neuronal cell,CCK,34487375
Mouse,Eye,Eye,Suprachiasmatic neuronal cell,AVP,34487375
Mouse,Eye,Eye,Extra-SCN hypothalamic neuron,Sst,34487375
Mouse,Eye,Eye,Oligodendrocyte,Mog,34487375
Mouse,Eye,Eye,Microglial cell,Ly86,34487375
Mouse,Eye,Eye,Oligodendrocyte,Plp1,34487375
Mouse,Eye,Eye,Radial glial cell,Ccnb1,34487375
Mouse,Eye,Eye,Extra-SCN hypothalamic neuron,Gal,34487375
Mouse,Eye,Eye,Microglial cell,C1qa,34487375
Mouse,Eye,Eye,Ependymocyte,Tctex1d4,34487375
Mouse,Eye,Eye,Astrocyte,Gfap,34487375
Mouse,Eye,Eye,Suprachiasmatic neuronal cell,C1ql3,34487375
Mouse,Eye,Eye,Ependymocyte,Tmem212,34487375
Mouse,Eye,Eye,Radial glial cell,Ube2c,34487375
Mouse,Eye,Eye,Endothelial cell,Dcn,34487375
Mouse,Eye,Eye,Astrocyte,Aqp4,34487375
Mouse,Eye,Eye,Putative SCN neuron,Nms,34487375
Human,Eye,Blood,Monocyte,LYZ,34488842
Human,Eye,Blood,B cell,Cd79a,34488842
Human,Eye,Blood,Platelet,Tubb1,34488842
Human,Gastrointestinal tract,Esophagus,B cell,MS4A1,34489433
Human,Gastrointestinal tract,Esophagus,B cell,CD79A,34489433
Human,Gastrointestinal tract,Esophagus,B cell,MZB1,34489433
Human,Gastrointestinal tract,Esophagus,B cell,JCHAIN,34489433
Human,Gastrointestinal tract,Esophagus,B cell,CD19,34489433
Human,Gastrointestinal tract,Esophagus,Endothelial cell,PECAM1,34489433
Human,Gastrointestinal tract,Esophagus,Epithelial cell,SFN,34489433
Human,Gastrointestinal tract,Esophagus,Fibroblast,COL1A2,34489433
Human,Gastrointestinal tract,Esophagus,Epithelial cell,EPCAM,34489433
Human,Gastrointestinal tract,Esophagus,Myeloid cell,IL3RA,34489433
Human,Gastrointestinal tract,Esophagus,Endothelial cell,CDH5,34489433
Human,Gastrointestinal tract,Esophagus,Endothelial cell,ENG,34489433
Human,Gastrointestinal tract,Esophagus,Epithelial cell,KRT5,34489433
Human,Gastrointestinal tract,Esophagus,Fibroblast,COL1A1,34489433
Human,Gastrointestinal tract,Esophagus,Myeloid cell,LYZ,34489433
Human,Gastrointestinal tract,Esophagus,Myeloid cell,LAMP3,34489433
Human,Gastrointestinal tract,Esophagus,T cell,CD3E,34489433
Human,Gastrointestinal tract,Esophagus,Pericyte,RGS5,34489433
Human,Gastrointestinal tract,Esophagus,Myeloid cell,CLEC4C,34489433
Human,Gastrointestinal tract,Esophagus,Pericyte,ACTA2,34489433
Human,Gastrointestinal tract,Esophagus,Endothelial cell,VWF,34489433
Human,Gastrointestinal tract,Esophagus,Fibroblastic reticular cell,PDPN,34489433
Human,Gastrointestinal tract,Esophagus,Myeloid cell,CD14,34489433
Human,Gastrointestinal tract,Esophagus,Fibroblast,COL3A1,34489433
Human,Gastrointestinal tract,Esophagus,Epithelial cell,KRT14,34489433
Human,Gastrointestinal tract,Esophagus,T cell,CD3D,34489433
Human,Gastrointestinal tract,Esophagus,Fibroblast,DCN,34489433
Human,Gastrointestinal tract,Esophagus,T cell,CD3G,34489433
Human,Gastrointestinal tract,Esophagus,Fibroblastic reticular cell,CCL21,34489433
Human,Gastrointestinal tract,Esophagus,Myeloid cell,TPSAB1,34489433
Human,Gastrointestinal tract,Esophagus,Fibroblast,FN1,34489433
Human,Gastrointestinal tract,Esophagus,Pericyte,MCAM,34489433
Human,Gastrointestinal tract,Esophagus,T cell,CD2,34489433
Human,Gastrointestinal tract,Esophagus,Fibroblast,COL6A1,34489433
Human,Gastrointestinal tract,Esophagus,Myeloid cell,CD68,34489433
Human,Eye,Retina,T cell,TRAC,34552068
Human,Eye,Retina,T cell,CD3D,34552068
Human,Eye,Eye,Iris puttative stem cell,ZIC2,34584087
Human,Eye,Eye,Smooth muscle cell,MYH11,34584087
Human,Eye,Eye,Iris puttative stem cell,LHX2,34584087
Human,Eye,Eye,Corneal epithelial cell,KRT12,34584087
Human,Eye,Eye,Corneal epithelial cell,KRT14,34584087
Human,Eye,Eye,Iris puttative stem cell,RAX,34584087
Human,Eye,Eye,Retina ganglion cell,POU4F1,34584087
Human,Eye,Eye,Rod cell,RHO,34584087
Human,Eye,Eye,Monocyte,CD74,34584087
Human,Eye,Eye,Activated T cell,CD69,34584087
Human,Eye,Eye,Schwann cell,CD9,34584087
Human,Eye,Eye,Melanocyte,MLANA,34584087
Human,Eye,Eye,Monocyte,CD14,34584087
Human,Eye,Eye,Bipolar cell,GRM6,34584087
Human,Eye,Eye,Fibroblast,MYOC,34584087
Human,Eye,Eye,Schwann cell,PLP1,34584087
Human,Eye,Eye,Mueller glia cell,DKK3,34584087
Human,Eye,Eye,Rod cell,SAG,34584087
Human,Eye,Eye,Retina ganglion cell,SNCG,34584087
Human,Eye,Eye,Rod cell,GNAT1,34584087
Human,Eye,Eye,Retinal pigment epithelial cell,BEST1,34584087
Human,Eye,Eye,Retinal pigment epithelial cell,RPE65,34584087
Human,Eye,Eye,Ciliary body cell,AQP1,34584087
Human,Eye,Eye,Fibroblast,MGP,34584087
Human,Eye,Eye,Mueller glia cell,CRABP1,34584087
Human,Eye,Eye,Smooth muscle cell,MYL9,34584087
Human,Eye,Eye,Bipolar cell,PCP2,34584087
Human,Eye,Eye,Cone cell,PDE5H,34584087
Human,Eye,Eye,Melanocyte,PMEL,34584087
Human,Eye,Eye,Cone cell,ARR3,34584087
Human,Eye,Eye,Amacrine cell,TFAP2B,34584087
Human,Eye,Eye,Amacrine cell,GAD2,34584087
Human,Eye,Eye,Schwann cell,LGI4,34584087
Human,Eye,Eye,Corneal epithelial cell,TGFBI,34584087
Human,Eye,Eye,Classical dendritic cell a(cDCa),ITGAX,34783307
Human,Eye,Eye,Classical dendritic cell a(cDCa),AXL,34783307
Human,Eye,Eye,Granulocyte,CD33,34783307
Human,Eye,Eye,Mature dendritic cell,CD83,34783307
Human,Eye,Eye,Gamma delta(γδ) T cell,TRDC,34783307
Human,Eye,Eye,Gamma delta(γδ) T cell,NKG7,34783307
Human,Eye,Eye,Mature dendritic cell,LAMP3,34783307
Human,Eye,Eye,Regulatory T(Treg) cell,IL2RA,34783307
Human,Eye,Eye,CD8+ T cell,CD8A,34783307
Human,Eye,Eye,Myeloid cell,S100A8,34783307
Human,Eye,Eye,CD4+ T cell,CD4,34783307
Human,Eye,Eye,Granulocyte,S100A12,34783307
Human,Eye,Eye,Plasmacytoid dendritic cell(pDC),CLEC4C,34783307
Human,Eye,Eye,Natural killer cell,GNLY,34783307
Human,Eye,Eye,Classical dendritic cell b(cDCb),MRC1,34783307
Human,Eye,Eye,Myeloid cell,CCL2,34783307
Human,Eye,Eye,CD8+ T cell,TRBC2,34783307
Human,Eye,Eye,Natural killer cell,IL7R,34783307
Human,Eye,Eye,Plasma cell,IGHG1,34783307
Human,Eye,Eye,Classical dendritic cell b(cDCb),CLEC10A,34783307
Human,Eye,Eye,Naive B cell,MS4A1,34783307
Human,Eye,Eye,CD4+ T cell,CD3G,34783307
Human,Eye,Eye,Regulatory T(Treg) cell,FOXP3,34783307
Human,Eye,Eye,Plasmacytoid dendritic cell(pDC),IL3RA,34783307
Mouse,Eye,Retina,Dilator muscle cell,OTX,34783308
Mouse,Eye,Retina,Sphincter 1 cell,Ttn,34783308
Mouse,Eye,Retina,Stroma 2 cell,TFAP2B,34783308
Mouse,Eye,Retina,Endothelial cell,ERG,34783308
Mouse,Eye,Retina,Sphincter 1 cell,NeuN,34783308
Mouse,Eye,Retina,Sphincter 1 cell,Nptx2,34783308
Mouse,Eye,Retina,Sphincter 1 cell,Ctnna3,34783308
Mouse,Eye,Retina,Muscle cell,SOX10,34783308
Mouse,Eye,Retina,Sphincter 1 cell,Rbfox3,34783308
Mouse,Eye,Retina,Sphincter 1 cell,Ckm,34783308
Mouse,Eye,Retina,Stroma 1 cell,SOX10,34783308
Mouse,Eye,Eye,Lymphocyte,Cds1,34912329
Mouse,Eye,Eye,Lymphocyte,Cxcl13,34912329
Mouse,Eye,Eye,Lymphocyte,Tap1,34912329
Mouse,Eye,Eye,Lymphocyte,Serpinb9,34912329
Mouse,Eye,Eye,Lymphocyte,Tmsb10,34912329
Mouse,Eye,Eye,Lymphocyte,C1qa,34912329
Mouse,Eye,Retina,Bipolar cell,PKC-α,34928015
Mouse,Eye,Retina,Ganglion cell,RBPMS,34928015
Mouse,Eye,Retina,Photoreceptor cell,Recoverin,34928015
Human,Eye,Retinal pigment epithelium,Epithelial cell,RPE65,35030321
Human,Eye,Retinal pigment epithelium,Epithelial cell,BEST1,35030321
Human,Eye,Retinal pigment epithelium,Epithelial cell,TYR,35030321
Human,Eye,Retinal pigment epithelium,Epithelial cell,RLBP1,35030321
Human,Eye,Retinal pigment epithelium,Epithelial cell,CRX,35030321
Human,Eye,Retinal pigment epithelium,Epithelial cell,RAX,35030321
Mouse,Esophagus,Esophagus,Epithelial cell,Trp63,35075189
Mouse,Esophagus,Esophagus,Epithelial cell,Krt1541,35075189
Mouse,Esophagus,Esophagus,Epithelial cell,Sox2,35075189
Mouse,Salivary gland,Salivary gland,Epithelial cell,Sox9,35075189
Mouse,Salivary gland,Salivary gland,Epithelial cell,Vim29,35075189
Mouse,Salivary gland,Salivary gland,Epithelial cell,Trp63,35075189
Mouse,Salivary gland,Salivary gland,Epithelial cell,Irf628,35075189
Mouse,Thymus,Thymus,Epithelial cell,Grhl3,35075189
Mouse,Thymus,Thymus,Epithelial cell,Cldn4,35075189
Mouse,Thymus,Thymus,Epithelial cell,Cldn3,35075189
Human,Esophagus,Esophagus,Basal cell,CD104,35108658
Human,Esophagus,Esophagus,Basal cell,SOC2,35108658
Human,Esophagus,Esophagus,Basal cell,CD73,35108658
Human,Eye,Corneal endothelium,Endothelial cell,SLC4A11,35141048
Human,Eye,Corneal endothelium,Endothelial cell,AQP1,35141048
Human,Eye,Corneal endothelium,Endothelial cell,TJP1,35141048
Human,Eye,Corneal endothelium,Endothelial cell,CDH2,35141048
Human,Eye,Corneal endothelium,Endothelial cell,ATP1A1,35141048
Human,Eye,Corneal endothelium,Endothelial cell,COL8A1,35141048
Mouse,Eye,Retina,Retinal ganglion cell,Rbpms,35191836
Mouse,Eye,Retina,Cone photoreceptor cell,Otx2,35191836
Mouse,Eye,Retina,Retinal ganglion cell,Slc17a6,35191836
Mouse,Eye,Retina,Amacrine cell,Tfap2b,35191836
Mouse,Eye,Retina,Amacrine cell,Tfap2a,35191836
Mouse,Eye,Retina,Microglial cell,P2ry12,35191836
Mouse,Eye,Retina,Anterior segment cell,Mgp,35191836
Mouse,Eye,Retina,Cone photoreceptor cell,Crx,35191836
Mouse,Eye,Retina,Anterior segment cell,Bgn,35191836
Mouse,Eye,Retina,Microglial cell,C1qa,35191836
Human,Eye,Eye,Effector memory T cell,PDL-1,35242144
Human,Eye,Eye,Effector memory T cell,TNFR1,35242144
Human,Eye,Eye,Effector memory T cell,PD-1,35242144
Human,Eye,Eye,Effector memory T cell,CTLA-4,35242144
Human,Eye,Eye,Effector memory T cell,RIPK3,35242144
Human,Eye,Eye,Effector memory T cell,RIPK1,35242144
Human,Eye,Cornea,T cell,CD3D,35280984
Human,Eye,Cornea,T cell,LCK,35280984
Human,Eye,Cornea,T cell,CD3E,35280984
Human,Gut,Gut,Regulatory T(Treg) cell,IL10,35303421
Human,Gut,Gut,Regulatory T(Treg) cell,IL23R,35303421
Human,Gut,Gut,Regulatory T(Treg) cell,IL1R1,35303421
Mouse,Eye,Retina,M2 macrophage,Ym1,35309305
Mouse,Eye,Retina,Microglial cell,TMEM119 ,35309305
Mouse,Eye,Retina,M2 macrophage,Arg1,35309305
Mouse,Eye,Retina,Antigen-presenting cell,MHC-II,35309305
Mouse,Eye,Retina,M2 macrophage,TGF-β,35309305
Mouse,Eye,Retina,Microglial cell,P2RY12,35309305
Mouse,Eye,Retina,M2 macrophage,IL-10,35309305
Mouse,Eye,Retina,M2 macrophage,CD206,35309305
Mouse,Eye,Retina,M1 macrophage,TNF-α,35309305
Mouse,Eye,Retina,M1 macrophage,CD86,35309305
Mouse,Eye,Retina,M1 macrophage,IL-1β,35309305
Mouse,Eye,Retina,M2 macrophage,IGF-1,35309305
Mouse,Eye,Retina,M1 macrophage,IL-6,35309305
Mouse,Eye,Retina,M1 macrophage,CD32,35309305
Mouse,Eye,Conjunctiva,Gamma delta(γδ) T cell,Cxcr6,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,CCR7,35361907
Mouse,Eye,Conjunctiva,Gamma delta(γδ) T cell,Icos,35361907
Mouse,Eye,Conjunctiva,Macrophage,MHCII,35361907
Mouse,Eye,Conjunctiva,Conventional dendritic cell(cDC),Naaa,35361907
Mouse,Eye,Conjunctiva,Gamma delta(γδ) T cell,Trdc,35361907
Mouse,Eye,Conjunctiva,Conventional dendritic cell(cDC),Cd74,35361907
Mouse,Eye,Conjunctiva,Monocyte,Mafb,35361907
Mouse,Eye,Conjunctiva,Conventional dendritic cell(cDC),Ifi205,35361907
Mouse,Eye,Conjunctiva,Monocyte,Cd74,35361907
Mouse,Eye,Conjunctiva,Lymphoid cell,Cxcr6,35361907
Mouse,Eye,Conjunctiva,Conventional dendritic cell(cDC),H2-Ab1,35361907
Mouse,Eye,Conjunctiva,Lymphoid cell,Areg,35361907
Mouse,Eye,Conjunctiva,Lymphoid cell,Gata3,35361907
Mouse,Eye,Conjunctiva,Macrophage,H2-Ab1,35361907
Mouse,Eye,Conjunctiva,Lymphocyte,IL-13,35361907
Mouse,Eye,Conjunctiva,Mast cell,Egr1,35361907
Mouse,Eye,Conjunctiva,Lymphoid cell,II5,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,FASCIN1,35361907
Mouse,Eye,Conjunctiva,Monocyte,APOE,35361907
Mouse,Eye,Conjunctiva,T cell,Icos,35361907
Mouse,Eye,Conjunctiva,Natural killer cell,AZW112010,35361907
Mouse,Eye,Conjunctiva,B cell,Ebf1,35361907
Mouse,Eye,Conjunctiva,Macrophage,Cd209a,35361907
Mouse,Eye,Conjunctiva,Natural killer cell,Gzma,35361907
Mouse,Eye,Conjunctiva,Mast cell,Fos,35361907
Mouse,Eye,Conjunctiva,Monocyte,H2-Ab1,35361907
Mouse,Eye,Conjunctiva,B cell,H2-Ab1,35361907
Mouse,Eye,Conjunctiva,Natural killer cell,Ccl5,35361907
Mouse,Eye,Conjunctiva,Myeloid cell,CD11b,35361907
Mouse,Eye,Conjunctiva,Monocyte,Apoe,35361907
Mouse,Eye,Conjunctiva,Monocyte,Lyz2,35361907
Mouse,Eye,Conjunctiva,B cell,Cd74,35361907
Mouse,Eye,Conjunctiva,Macrophage,CD209a,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,Ccl22,35361907
Mouse,Eye,Conjunctiva,Mast cell,Mcpt4,35361907
Mouse,Eye,Conjunctiva,B cell,Cd79a,35361907
Mouse,Eye,Conjunctiva,T cell,Cd28,35361907
Mouse,Eye,Conjunctiva,Myeloid cell,Ccr2,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,Tbc1d4,35361907
Mouse,Eye,Conjunctiva,Gamma delta(γδ) T cell,II17a,35361907
Mouse,Eye,Conjunctiva,Conjunctival cell,Marcksl1,35361907
Mouse,Eye,Conjunctiva,Migratory dendritic cell,Ccl5,35361907
Mouse,Eye,Conjunctiva,Lymphocyte,IL-5,35361907
Mouse,Eye,Conjunctiva,Mast cell,Cma1,35361907
Mouse,Eye,Conjunctiva,Conjunctival cell,H2-Ab1,35361907
Mouse,Eye,Conjunctiva,Mast cell,Apoe,35361907
