species,tissue_class,tissue_type,cell_name,marker,pmid
Human,Lung,Lung,Mast cell,TPSB2,31892341
Human,Lung,Lung,Plasma cell,JCHAIN,31892341
Human,Spleen,Spleen,Regulatory T(Treg) cell,FOXP3,31892341
Human,Spleen,Spleen,Regulatory T(Treg) cell,IL2RA,31892341
Human,Spleen,Spleen,CD34+ progenitor cell,CD34,31892341
Human,Spleen,Spleen,Cytotoxic T cell,GZMB,31892341
Human,Spleen,Spleen,Dividing cell,H2AFZ,31892341
Human,Spleen,Spleen,CD34+ progenitor cell,HOXA9,31892341
Human,Spleen,Spleen,Follicular B cell,TCL1A,31892341
Human,Spleen,Spleen,T follicular helper(Tfh) cell,ICOS,31892341
Human,Spleen,Spleen,Macrophage,CD5L,31892341
Human,Spleen,Spleen,CD34+ progenitor cell,PROM1,31892341
Human,Spleen,Spleen,Follicular B cell,FCER2,31892341
Human,Spleen,Spleen,CD4+ T cell,CD8A,31892341
Human,Spleen,Spleen,Follicular B cell,IL4R,31892341
Human,Spleen,Spleen,Monocyte,FCN1,31892341
Human,Spleen,Spleen,Somatic hypermutation B cell,AICDA,31892341
Human,Spleen,Spleen,Conventional dendritic cell 2(cDC2),CLEC10A,31892341
Human,Spleen,Spleen,CD4+ T cell,CD4,31892341
Human,Spleen,Spleen,Follicular B cell,IGHD,31892341
Human,Spleen,Spleen,Innate lymphoid cell,KLRB1,31892341
Human,Spleen,Spleen,T follicular helper(Tfh) cell,PDCD1,31892341
Human,Spleen,Spleen,CD4+ T cell,CD3E,31892341
Human,Spleen,Spleen,Natural killer cell,CD160,31892341
Human,Spleen,Spleen,Monocyte,VCAN,31892341
Human,Spleen,Spleen,Natural killer cell,NCR1,31892341
Human,Spleen,Spleen,Conventional dendritic cell 2(cDC2),CD1C,31892341
Human,Spleen,Spleen,Mait-like cell,KLRB1,31892341
Human,Spleen,Spleen,Platelet,PF4,31892341
Human,Spleen,Spleen,Platelet,GP9,31892341
Human,Spleen,Spleen,Mait-like cell,SLC4A10,31892341
Human,Spleen,Spleen,Macrophage,APOE,31892341
Human,Spleen,Spleen,T follicular helper(Tfh) cell,CXCR5,31892341
Human,Spleen,Spleen,Plasmacytoid dendritic cell,CLEC4C,31892341
Human,Spleen,Spleen,Dividing cell,TUBB,31892341
Human,Spleen,Spleen,Natural killer cell,NCAM1,31892341
Human,Spleen,Spleen,Immune cell,PTPRC,31892341
Human,Spleen,Spleen,γ δ T cell,TRGV2,31892341
Human,Spleen,Spleen,Plasma cell,IGHG1,31892341
Human,Spleen,Spleen,Plasmacytoid dendritic cell,IL3RC,31892341
Human,Spleen,Spleen,Monocyte,CD14,31892341
Human,Spleen,Spleen,CD8+ T cell,CD4,31892341
Human,Spleen,Spleen,Innate lymphoid cell,TNFSF13B,31892341
Human,Spleen,Spleen,Mantle B cell,TNFRSF13B,31892341
Human,Spleen,Spleen,γ δ T cell,FCGR3A,31892341
Human,Spleen,Spleen,Follicular B cell,YBX3,31892341
Human,Spleen,Spleen,Plasma cell,IGHM,31892341
Human,Spleen,Spleen,Natural killer cell,FCGR3A,31892341
Human,Spleen,Spleen,Dividing cell,MKI67,31892341
Human,Spleen,Spleen,Conventional dendritic cell 1(cDC1),XCR1,31892341
Human,Spleen,Spleen,Dividing cell,CDK1,31892341
Human,Spleen,Spleen,Cytotoxic T cell,PRF1,31892341
Human,Spleen,Spleen,B cell,CD19,31892341
Human,Spleen,Spleen,Innate lymphoid cell,IL7R,31892341
Human,Spleen,Spleen,Innate lymphoid cell,AREG,31892341
Human,Spleen,Spleen,CD8+ T cell,CD8A,31892341
Human,Spleen,Spleen,Plasma cell,JCHAIN,31892341
Human,Spleen,Spleen,Conventional dendritic cell 1(cDC1),CLEC9A,31892341
Human,Spleen,Spleen,Plasma cell,XBP1,31892341
