organ_tissue,cell_ontology_class,free_annotation
lymph_node,cd8-positive alpha-beta t cell,cd8-positive alpha-beta thymocyte
lymph_node,"cd8-positive, alpha-beta memory t cell",cd8-positive memory t cell
lymph_node,classical monocyte,classical monocyte
lymph_node,endothelial cell,endothelial
lymph_node,endothelial cell,endothelial cell
lymph_node,endothelial cell,endothelial cells
lymph_node,endothelial cell,endothelial/kuppfer
lymph_node,endothelial cell,endothelial_cells
lymph_node,endothelial cell,endothelium
lymph_node,endothelial cell,enodthelial cell
lymph_node,erythrocyte,erythrocyte
lymph_node,erythrocyte,erythrocytes
lymph_node,hematopoietic stem cell,hematopoietic stem cell
lymph_node,innate lymphoid cell,innate lymphoid cells
lymph_node,innate lymphoid cell,innate lymphoid cell
lymph_node,intermediate monocyte,intermediate monocyte
lymph_node,macrophage,macrophage
lymph_node,macrophage,macrophages
lymph_node,macrophage,monocyte/macrophage
lymph_node,macrophage,sorted myeloid
lymph_node,macrophage,tissue resident macrophage
lymph_node,mast cell,mast cell
lymph_node,mast cell,mast_cells
lymph_node,mast cell,mast cells
lymph_node,mature conventional dendritic cell,conventional dendritic cell
lymph_node,mature nk t cell,mature nk t cell
lymph_node,memory b cell,memory b cell
lymph_node,naive b cell,naive b cell
lymph_node,"naive thymus-derived cd4-positive, alpha-beta t cell",naive cd4-positive helper t cells
lymph_node,neutrophil,neutrophil
lymph_node,nk cell,nk cell
lymph_node,nk cell,nk cells
lymph_node,nk cell,natural killer cell
lymph_node,nk cell,natural killer cells
lymph_node,nk cell,natural_killar_cells
lymph_node,nk cell,proliferating nk cell
lymph_node,nk cell,uterine nk cells
lymph_node,non-classical monocyte,non-classical monocyte
lymph_node,plasma cell,plasma
lymph_node,plasma cell,plasma cell
lymph_node,plasma cell,plasma cells
lymph_node,plasma cell,plasma_cells
lymph_node,plasmacytoid dendritic cell,plasmacytoid dendritic cell
lymph_node,regulatory t cell,regulatory t cell
lymph_node,stromal cell,stromal
lymph_node,stromal cell,stromal cell
lymph_node,stromal cell,stromal cells
lymph_node,t cell,areg high t-cell
lymph_node,t cell,areg low t-cell
lymph_node,t cell,t cell
lymph_node,t cell,t cell-low rna
lymph_node,t cell,t cells
lymph_node,t cell,t lymphocytes
lymph_node,t cell,t-cells
lymph_node,t cell,t_cells
lymph_node,t cell,alpha beta t cell
lymph_node,t cell,alpha-beta t cell
lymph_node,type i nk t cell,nk t cell
lymph_node,type i nk t cell,nkt cell
lymph_node,type i nk t cell,type i nk t cell
mammary,b cell,b cell
mammary,b cell,b cells
mammary,b cell,b lymphocytes
mammary,b cell,b_cells
mammary,basal cell,basal
mammary,basal cell,basal cell
mammary,basal cell,basal cells
mammary,basal cell,basal_cells_confirmed
mammary,endothelial cell of artery,artery cells (endothelial cells)
mammary,endothelial cell of artery,endothelial cell of artery
mammary,endothelial cell of artery,endothelial_cell_of_artery_confirmed
mammary,endothelial cell of artery,vascular arterial endothelial cell
mammary,endothelial cell of lymphatic vessel,lymphatic cells
mammary,endothelial cell of lymphatic vessel,lymphatic endothelial cell
mammary,endothelial cell of lymphatic vessel,lymphatic endothelium
mammary,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel
mammary,endothelial cell of lymphatic vessel,endothelial_cell_of_lymphatic_vessel_confirmed
mammary,fibroblast of breast,fibroblasts (lipofibroblasts)
mammary,luminal epithelial cell of mammary gland,luminal progenitor cells
mammary,luminal epithelial cell of mammary gland,mature luminal cells
mammary,macrophage,macrophage
mammary,macrophage,macrophages
mammary,macrophage,monocyte/macrophage
mammary,macrophage,sorted myeloid
mammary,macrophage,tissue resident macrophage
mammary,mast cell,mast cell
mammary,mast cell,mast_cells
mammary,mast cell,mast cells
mammary,nk cell,nk cell
mammary,nk cell,nk cells
mammary,nk cell,natural killer cell
mammary,nk cell,natural killer cells
mammary,nk cell,natural_killar_cells
mammary,nk cell,proliferating nk cell
mammary,nk cell,uterine nk cells
mammary,pericyte cell,pericyte
mammary,pericyte cell,pericytes
mammary,pericyte cell,perivascular
mammary,pericyte cell,pericyte cell
mammary,pericyte cell,pericyte_cell_confirmed
mammary,plasma cell,plasma
mammary,plasma cell,plasma cell
mammary,plasma cell,plasma cells
mammary,plasma cell,plasma_cells
mammary,t cell,areg high t-cell
mammary,t cell,areg low t-cell
mammary,t cell,t cell
mammary,t cell,t cell-low rna
mammary,t cell,t cells
mammary,t cell,t lymphocytes
mammary,t cell,t-cells
mammary,t cell,t_cells
mammary,t cell,alpha beta t cell
mammary,t cell,alpha-beta t cell
mammary,vascular associated smooth muscle cell,vascular smooth muscle
mammary,vascular associated smooth muscle cell,vasuclar smooth muscle cell
mammary,vascular associated smooth muscle cell,vascular associated smooth muscle cell
mammary,vein endothelial cell,vein cell (endothelial cell)
mammary,vein endothelial cell,vascular venous endothelial cell
mammary,vein endothelial cell,vein endothelial cell
mammary,vein endothelial cell,vein_endothelial_cell
muscle,capillary endothelial cell,capillary endothelial cell
muscle,capillary endothelial cell,capillary_endothelial_confirmed
muscle,capillary endothelial cell,vascular capillary endothelial cell
muscle,"cd4-positive, alpha-beta t cell",cd4 t cell
muscle,"cd8-positive, alpha-beta t cell",cd4 t cell
muscle,"cd8-positive, alpha-beta t cell",cd8 t cell
muscle,endothelial cell of artery,artery cells (endothelial cells)
muscle,endothelial cell of artery,endothelial cell of artery
muscle,endothelial cell of artery,endothelial_cell_of_artery_confirmed
muscle,endothelial cell of artery,vascular arterial endothelial cell
muscle,endothelial cell of lymphatic vessel,lymphatic cells
muscle,endothelial cell of lymphatic vessel,lymphatic endothelial cell
muscle,endothelial cell of lymphatic vessel,lymphatic endothelium
muscle,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel
muscle,endothelial cell of lymphatic vessel,endothelial_cell_of_lymphatic_vessel_confirmed
muscle,endothelial cell of vascular tree,endothelial cell of vascular tree
muscle,erythrocyte,erythrocyte
muscle,erythrocyte,erythrocytes
muscle,fast muscle cell,fast muscle cell
muscle,macrophage,macrophage
muscle,macrophage,macrophages
muscle,macrophage,monocyte/macrophage
muscle,macrophage,sorted myeloid
muscle,macrophage,tissue resident macrophage
muscle,mast cell,mast cell
muscle,mast cell,mast_cells
muscle,mast cell,mast cells
muscle,mature nk t cell,mature nk t cell
muscle,mesenchymal stem cell,mesenchymal stem cells
muscle,mesenchymal stem cell,mesenchymal stem cell
muscle,mesothelial cell,mesothelial cell
muscle,pericyte cell,pericyte
muscle,pericyte cell,pericytes
muscle,pericyte cell,perivascular
muscle,pericyte cell,pericyte cell
muscle,pericyte cell,pericyte_cell_confirmed
muscle,skeletal muscle satellite stem cell,skeletal muscle satellite stem cell
muscle,slow muscle cell,slow muscle cell
muscle,smooth muscle cell,smooth muscle cell
muscle,smooth muscle cell,smooth muscle cells
muscle,smooth muscle cell,smooth_muscle_cells
muscle,t cell,areg high t-cell
muscle,t cell,areg low t-cell
muscle,t cell,t cell
muscle,t cell,t cell-low rna
muscle,t cell,t cells
muscle,t cell,t lymphocytes
muscle,t cell,t-cells
muscle,t cell,t_cells
muscle,t cell,alpha beta t cell
muscle,t cell,alpha-beta t cell
muscle,tendon cell,tendon cell
pancreas,b cell,b cell
pancreas,b cell,b cells
pancreas,b cell,b lymphocytes
pancreas,b cell,b_cells
pancreas,endothelial cell,endothelial
pancreas,endothelial cell,endothelial cell
pancreas,endothelial cell,endothelial cells
pancreas,endothelial cell,endothelial/kuppfer
pancreas,endothelial cell,endothelial_cells
pancreas,endothelial cell,endothelium
pancreas,endothelial cell,enodthelial cell
pancreas,fibroblast,endometrial stromal fibbroblast
pancreas,fibroblast,fibroblast
pancreas,fibroblast,fibroblasts
pancreas,fibroblast,stellate/fibroblast
pancreas,fibroblast,uterine fibroblast
pancreas,mast cell,mast cell
pancreas,mast cell,mast_cells
pancreas,mast cell,mast cells
pancreas,myeloid cell,monocyte/macrophage
pancreas,myeloid cell,myeloid cell
pancreas,nk cell,nk cell
pancreas,nk cell,nk cells
pancreas,nk cell,natural killer cell
pancreas,nk cell,natural killer cells
pancreas,nk cell,natural_killar_cells
pancreas,nk cell,proliferating nk cell
pancreas,nk cell,uterine nk cells
pancreas,pancreatic acinar cell,pancreatic acinar cell
pancreas,pancreatic acinar cell,pancreatic acing cell
pancreas,pancreatic alpha cell,pancreatic alpha cell
pancreas,pancreatic beta cell,pancreatic beta cell
pancreas,pancreatic delta cell,pancreatic delta cell
pancreas,pancreatic ductal cell,pancreatic ductal cell
pancreas,pancreatic pp cell,pancreatic pp cell
pancreas,pancreatic stellate cell,pancreatic stellate cell
pancreas,pancreatic stellate cell,pancreatic stellate cell activated
pancreas,pancreatic stellate cell,pancreatic stellate cell quiescent
pancreas,plasma cell,plasma
pancreas,plasma cell,plasma cell
pancreas,plasma cell,plasma cells
pancreas,plasma cell,plasma_cells
pancreas,t cell,areg high t-cell
