cell_ontology_class,free_annotation,number of cells
nk cell,Proliferating NK cell,102
nk cell,Uterine NK cells,53
nk cell,nk cell,5972
nkt cell,NKT cell,348
nkt cell,Natural Killer T-Cell,175
non-classical monocyte,non-classical monocyte,1044
ocular surface cell,inflamed ocular surface cells,54
pancreatic acinar cell,pancreatic acinar cell,4364
pancreatic acinar cell,pancreatic acing cell,1170
pancreatic alpha cell,pancreatic alpha cell,71
pancreatic beta cell,pancreatic beta cell,99
pancreatic delta cell,pancreatic delta cell,9
pancreatic ductal cell,pancreatic ductal cell,2431
pancreatic pp cell,pancreatic pp cell,71
pancreatic stellate cell,pancreatic stellate cell,39
pancreatic stellate cell,pancreatic stellate cell activated,172
pancreatic stellate cell,pancreatic stellate cell quiescent,182
paneth cell of epithelium of large intestine,paneth cell of epithelium of large intestine,57
paneth cell of epithelium of large intestine,paneth-like cell,831
paneth cell of epithelium of small intestine,paneth cell,177
paneth cell of epithelium of small intestine,paneth cell of epithelium of small intestine,470
pericyte cell,Pericyte,142
pericyte cell,Pericytes,106
pericyte cell,Perivascular,99
pericyte cell,pericyte cell,4075
pericyte cell,pericyte_cell_confirmed,117
plasma cell,Plasma,34
plasma cell,Plasma cell,60
plasma cell,Plasma cells,1968
plasma cell,Plasma_cells,26
plasma cell,plasma cell,9411
plasma cell,plasma cells,46
plasmablast,plasmablast,14
plasmacytoid dendritic cell,plasmacytoid dendritic cell,96
platelet,platelet,268
pulmonary ionocyte,pulmonary ionocyte,19
radial glial cell,radial glia progenitor cells,195
regulatory t cell,Regulatory T cell,126
regulatory t cell,regulatory T cell,881
regulatory t cell,regulatory t cell,296
respiratory goblet cell,respiratory goblet cell,754
respiratory mucous cell,respiratory mucous cell,8
retina horizontal cell,retina - horizontal cells,6
retinal bipolar neuron,retina - bipolar cells,34
retinal blood vessel endothelial cell,vascular endothelial cells,466
retinal ganglion cell,retina - ganglion cells,5
retinal pigment epithelial cell,retina - retinal pigment epithelium,49
salivary gland cell,Cycling cells,45
schwann cell,Schwann_cell,10
secretory cell,secretory cell,253
serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,15
serous cell of epithelium of trachea,serous cell of epithelium of trachea,41
skeletal muscle satellite stem cell,skeletal muscle satellite stem cell,4831
slow muscle cell,slow muscle cell,163
small intestine goblet cell,goblet cell,300
smooth muscle cell,Smooth Muscle Cell,285
smooth muscle cell,Smooth Muscle Cells,222
smooth muscle cell,Smooth_muscle_cells,16
smooth muscle cell,smooth muscle cell,3544
smooth muscle cell,smooth muscle cells,13
sperm,Sperm Cell,11
stromal cell,Stromal,32
stromal cell,stromal cell,111
stromal cell,stromal cells,2943
t cell,AREG High T-Cell,39
t cell,AREG Low T-Cell,547
t cell,T cell,4749
t cell,T cell-low RNA,77
t cell,T cells,70
t cell,T lymphocytes,546
t cell,T-cells,2324
t cell,T_Cells,1715
t cell,alpha beta T cell,31
t cell,alpha-beta T cell,519
t cell,t cell,3828
t cell,t cells,237
t follicular helper cell,T follicular helper cell-like,398
tendon cell,tendon cell,234
thymocyte,thymocyte,553
tongue muscle cell,tongue_muscle_cell,60
tracheal goblet cell,tracheal goblet cell,77
transit amplifying cell of large intestine,intestinal transient amplifying cell,52
transit amplifying cell of large intestine,transit amplifying cell of large intestine,156
